OG_name	Fhon	LAan	LAce	LAdo	LAfl	LAko	LAla	LAni	LAnu	LMbe	LMbo	Laci	Lamy	Lapi	Lapn	Lbre	Lcri	Ldel	Lflo	Lfru	Lgas	Lhls	Lhlv	Ljoh	Lkef	Lkim	Lkul	Llin	Lmlf	Lmls	Lmlv	Loze	Lsan	Ppen	YH15	wB10	wkB8	
OG1.5_1082	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1083	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1084	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1085	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1086	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1087	1	1	1	1	1	1	1	1	1	1	1	6	3	1	0	0	2	1	1	2	1	1	8	0	2	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1088	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	2	1	1	2	1	1	6	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG1.5_1089	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1090	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1091	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1092	1	1	1	1	1	1	1	1	1	1	1	5	2	1	1	6	0	1	0	0	1	2	7	1	1	2	1	0	1	1	1	0	0	2	1	1	2	
OG1.5_1093	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1094	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1095	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1096	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1097	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	4	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1098	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	6	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1099	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	4	0	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1100	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
